2021-10-26 13:06:35 DEBUG chesslib.c:191: g_move_to | en_passant = 0
2021-10-26 13:06:35 DEBUG chesslib.c:192: g_move_to | is_castling = 0
2021-10-26 13:06:35 DEBUG chesslib.c:193: g_move_to | global castling = 0-0
2021-10-26 13:06:40 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 13:07:12 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 13:07:14 DEBUG chesslib.c:191: g_move_to | color = 0
2021-10-26 13:07:14 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:14 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:14 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:15 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.781000 
2021-10-26 13:07:15 DEBUG chesslib.c:191: g_move_to | color = 1
2021-10-26 13:07:15 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:15 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:15 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:16 DEBUG chesslib.c:191: g_move_to | color = 0
2021-10-26 13:07:16 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:16 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:16 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:19 DEBUG chesslib.c:167: g_alpha_beta | 581163 -165 59 45 0 0 2.417000 
2021-10-26 13:07:19 DEBUG chesslib.c:191: g_move_to | color = 1
2021-10-26 13:07:19 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:19 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:19 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:25 DEBUG chesslib.c:191: g_move_to | color = 0
2021-10-26 13:07:25 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:25 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:25 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:31 DEBUG chesslib.c:167: g_alpha_beta | 1044572 -205 51 35 0 0 4.899000 
2021-10-26 13:07:31 DEBUG chesslib.c:191: g_move_to | color = 1
2021-10-26 13:07:31 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:31 DEBUG chesslib.c:193: g_move_to | is_castling = 0
2021-10-26 13:07:31 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:43 DEBUG chesslib.c:191: g_move_to | color = 0
2021-10-26 13:07:43 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:43 DEBUG chesslib.c:193: g_move_to | is_castling = 1
2021-10-26 13:07:43 DEBUG chesslib.c:194: g_move_to | global castling = 0-0
2021-10-26 13:07:43 DEBUG chesslib.c:202: g_move_to | set castling[0]=1
2021-10-26 13:07:43 DEBUG chesslib.c:191: g_move_to | color = 0
2021-10-26 13:07:43 DEBUG chesslib.c:192: g_move_to | en_passant = 0
2021-10-26 13:07:43 DEBUG chesslib.c:193: g_move_to | is_castling = 1
