2022-01-21 09:33:23 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:23 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:24 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:26 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:26 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:26 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:26 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:26 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:27 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:27 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:27 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:27 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:28 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:31 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:31 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:31 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:31 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:31 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:33 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:33 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:33 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:33 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:34 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:36 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:36 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:36 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:36 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:36 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:38 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:38 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:38 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:38 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:39 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:41 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:41 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:41 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:41 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:41 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:43 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:43 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:43 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:43 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:44 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:46 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:46 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:46 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:46 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:46 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:48 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:48 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:48 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:48 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:49 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:51 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:51 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:51 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:51 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:51 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:54 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:54 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:54 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:54 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:58 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:02 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:04 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:04 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:04 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:04 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:04 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:06 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:06 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:06 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:06 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:07 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:09 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:09 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:09 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:09 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:09 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:11 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:11 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:11 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:11 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:12 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:14 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:15 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:20 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:20 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:20 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:20 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:20 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:22 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:22 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:22 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:22 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:29 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:31 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:31 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:31 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:31 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:31 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:33 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:33 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:33 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:33 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:34 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:36 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:36 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:36 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:36 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:36 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:38 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:38 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:38 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:38 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:39 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:34:40 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:34:40 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:34:40 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:34:40 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:34:40 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:34:42 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:34:42 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
